angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9,angle_10,angle_11,angle_12,label
-122.79859630048315,-56.818812984063534,-35.958338624285794,57.20140369951686,-56.5232826441335,-38.839468192684905,136.54683407385252,-118.79460083671621,-119.2780099966708,134.72280108057433,-122.08192779192568,-117.50978882803545,Downdog
-122.99978171953114,-59.80884317471955,-33.86204409395449,57.000218280468864,-53.97397918156715,-37.349842780171265,136.95736119708985,-125.06256994484978,-120.93611480616927,136.85001397379926,-125.36594099894722,-122.01592500095494,Downdog
-103.44721822596904,-53.88080914264171,-40.08874701536959,76.55278177403096,-55.38624551086037,-46.902118241515105,143.33411169111574,-125.24781104869635,-123.13467784778028,141.7909175648052,-125.75285408164382,-125.22370317561378,Downdog
159.12104847400443,-132.7405680371128,-138.68946623313823,-20.878951525995596,-130.0869191346023,-141.7910304581521,45.279054371279,-57.792896802828224,-62.86005136315191,39.8558162356826,-60.741816245762,-63.02037241293065,Downdog
-99.91056739311115,-120.78784573681358,-147.68644957756408,80.08943260688886,-122.15841673082517,-144.85112247499544,37.94110364227177,-53.669166249382535,-47.52955870377748,38.99293861000457,-53.80673635176285,-52.85236614619006,Downdog
128.35254910850443,-120.13960078119526,-138.7646864049701,-51.64745089149557,-120.59726577012133,-141.02237964660998,39.15001362978336,-55.72394791225478,-54.57658596247443,37.774596749075286,-56.81898391978155,-55.57758843444,Downdog
-112.31742403610785,-53.4797242164614,-40.91500626915064,67.68257596389215,-56.582918773346535,-41.56604395177225,137.29218171513114,-120.24099709286945,-118.09096773335173,135.30279107274913,-124.21975560175059,-115.94449798162626,Downdog
-70.99506612273396,-132.5549614451647,-150.28612795863455,109.00493387726604,-135.79674127148598,-145.41475066525734,48.98377126484455,-55.04115846588214,-53.675529561251174,50.23313225768776,-55.90046064266667,-54.017525130237345,Downdog
160.13706976904083,-136.3481195071282,-139.51151037366958,-19.862930230959154,-131.0758735401783,-144.00547578101245,44.02897376452399,-56.690474058123925,-62.5758838550703,39.42704284376355,-59.245809634213565,-62.69614421951287,Downdog
112.4179689030913,-139.47040476277556,-148.82731765253436,-67.5820310969087,-138.07555715601825,-147.8077331686149,48.12899363438351,-55.932606528625236,-65.35012394205191,46.9632179374512,-56.007318128285995,-65.13879590506947,Downdog
-130.0265812049407,-48.30570903670186,-37.36362014292192,49.97341879505931,-45.95294151123474,-45.989201912907156,136.69561591160362,-117.92864060545526,-122.17356170286301,133.98122991924123,-120.53292753114032,-124.41500482120567,Downdog
-127.2947372016874,-64.1161315905626,-36.19556814179707,52.7052627983126,-55.97509018338713,-40.698536232676815,139.46743678470804,-118.42219011964472,-127.53404189217794,139.3910927225524,-121.63523489159248,-127.68045084185471,Downdog
148.1284905121857,-128.42704360118896,-140.72374112392367,-31.871509487814308,-131.01482708969425,-139.0406431258112,48.072541295140375,-60.69376336964261,-55.78231036513117,45.02916437423495,-61.52788466008207,-59.08370584404159,Downdog
48.02596080245851,-133.13353680524483,-147.9206164042532,-131.9740391975415,-132.90528544272232,-146.83375187751048,45.03977105541999,-55.760681141375805,-62.17466428193853,43.07798632427104,-56.13444096754919,-61.83972001905069,Downdog
